rho,pair,mae
1.178283419981967090e-01,5.457627118644067243e-01,1.797851619265068450e+02
7.932234788113895485e-02,5.050847457627118953e-01,1.672793643279966602e+02
2.129381474673293362e-01,5.627118644067796716e-01,1.648286032174478919e+02
-1.936851504088004661e-01,4.440677966101694851e-01,1.858370484964582374e+02
-3.315366093478672171e-01,4.135593220338982801e-01,2.162791590676204692e+02
-6.391995023431586154e-02,4.813559322033898469e-01,1.797329463236635263e+02
-3.500194865240549014e-01,3.864406779661017088e-01,2.060209529589417343e+02
-2.949559149366623445e-01,4.033898305084746005e-01,2.243577843812412880e+02
5.652679936384078507e-01,6.949152542372881713e-01,1.198650354939323393e+02
-5.275321194036911576e-01,3.050847457627118842e-01,1.956761702134828340e+02
-4.736237276398103102e-01,3.525423728813559254e-01,2.370944544540323591e+02
1.039661841160559180e-01,5.932203389830508211e-01,1.540114457048238421e+02
2.529843813490694204e-01,6.305084745762712384e-01,1.727566603696741367e+02
-7.354644876358029659e-02,4.745762711864406902e-01,1.847898552217858992e+02
-1.001155847043501412e-02,4.949152542372881602e-01,1.707310832551301019e+02
-3.011168739953915541e-01,3.762711864406779738e-01,2.138181163453647002e+02
-3.080479529364619704e-02,4.915254237288135819e-01,1.888525357568374829e+02
-2.422027029962932343e-01,4.271186440677965934e-01,1.832275243791607409e+02
1.309203799979963279e-02,5.118644067796610519e-01,1.849118827059224657e+02
-6.391995023431586154e-02,4.915254237288135819e-01,1.455034389680428148e+02
3.442435874064962986e-01,6.067796610169491345e-01,1.453418719321668675e+02
-2.579901605842869206e-01,4.169491525423728584e-01,2.057624244364286881e+02
-9.125920605742687819e-02,4.576271186440677985e-01,2.000472538145377541e+02
-3.353872087595730078e-01,4.135593220338982801e-01,2.318323424289304739e+02
3.604161049356605084e-01,6.305084745762712384e-01,1.407564033360387441e+02
-3.342320289360612429e-01,3.932203389830508655e-01,2.326642895586546445e+02
-3.993071589938888000e-01,3.694915254237288171e-01,2.190484800933205634e+02
2.502889617608753531e-02,5.050847457627118953e-01,1.902039125429876663e+02
-1.066616037042499715e-01,4.677966101694915335e-01,2.054813379228965005e+02
-3.492493666417137987e-01,3.661016949152542388e-01,2.008765042797699039e+02
4.524454308754285448e-01,6.474576271186440746e-01,1.409870524701502461e+02
1.906046708794358613e-01,5.898305084745762983e-01,1.712114634920251035e+02
-2.849443564662273304e-02,4.847457627118644252e-01,1.854379669292185611e+02
-3.850599411705774955e-04,5.152542372881355748e-01,1.697045450715144739e+02
5.691185930501134749e-01,7.016949152542373280e-01,1.261146207403919135e+02
2.233347658789349433e-01,6.237288135593220817e-01,1.602460036342575620e+02
-3.615712847591722734e-01,3.694915254237288171e-01,2.151701622216143619e+02
-1.243743609980965253e-01,4.644067796610169552e-01,1.464618299488966215e+02
-3.065077131717796610e-01,4.033898305084746005e-01,1.997097640840608506e+02
-1.917598507029475985e-01,4.440677966101694851e-01,1.549171212525659200e+02
3.080479529364619964e-03,5.084745762711864181e-01,1.544079690232645987e+02
-2.810937570545215536e-01,4.169491525423728584e-01,2.193014161263369886e+02
1.540239764682309852e-02,5.084745762711864181e-01,1.713428878775052340e+02
-1.039661841160559319e-02,4.949152542372881602e-01,1.825247380968568507e+02
2.637660597018455788e-01,6.237288135593220817e-01,1.623918858716760099e+02
-2.722373784075983183e-01,4.033898305084746005e-01,2.105388189148281981e+02
2.152485071143528106e-01,6.033898305084746116e-01,1.603562573571037433e+02
2.753178579369628953e-01,6.372881355932202840e-01,1.522748742965721931e+02
-2.491337819373636298e-01,4.271186440677965934e-01,1.891163449384055752e+02
1.759723931149539122e-01,5.999999999999999778e-01,1.554278295834812411e+02
1.778976928208068076e-01,5.661016949152541944e-01,1.620021729222813462e+02
-4.774743270515160315e-02,4.881355932203390036e-01,2.113179240427346599e+02
-3.172893915245558194e-01,3.966101694915254439e-01,2.054375727827695925e+02
1.933000904676298870e-01,5.694915254237288282e-01,1.630627480657225306e+02
-3.153640918187029518e-01,4.203389830508474367e-01,2.222604268691621030e+02
-1.863690115265594915e-01,4.372881355932203284e-01,1.967178288229084444e+02
2.210244062319114688e-01,6.203389830508474478e-01,1.543083980715846053e+02
-5.544863152856316368e-02,4.983050847457627386e-01,1.691103741851520965e+02
3.234503505832850984e-02,5.186440677966102086e-01,1.517305809848307661e+02
2.271853652906407062e-01,5.898305084745762983e-01,1.583210869861645733e+02
4.505201311695756217e-01,6.372881355932202840e-01,1.328872147525597143e+02
-1.320755598215080651e-01,4.576271186440677985e-01,2.075942906569412969e+02
-4.501350712284050148e-01,3.254237288135592987e-01,2.013783501459153911e+02
-5.614173942267020045e-01,3.084745762711864625e-01,2.294585354011285290e+02
3.311515494066966103e-02,5.050847457627118953e-01,1.777535264464842442e+02
-1.305353200568257765e-01,4.576271186440677985e-01,1.754229357294479144e+02
1.536389165270604096e-01,6.271186440677966045e-01,1.538528122863782244e+02
-1.316904998803375137e-01,4.745762711864406902e-01,2.019211604860430214e+02
-1.259146007627788277e-01,4.915254237288135819e-01,1.770429312374438382e+02
2.807086971133510023e-01,5.932203389830508211e-01,1.706704938787992774e+02
-3.504045464652254943e-02,5.084745762711864181e-01,1.477376739000725365e+02
2.810937570545215744e-02,5.999999999999999778e-01,1.874322125270817310e+02
6.815560958719221740e-02,5.423728813559322015e-01,1.904950620745829610e+02
1.501733770565252292e-02,4.983050847457627386e-01,1.857871421110822610e+02
-4.466695317578698865e-01,3.457627118644067687e-01,2.094376958709198959e+02
3.966117394056948298e-01,6.338983050847457612e-01,1.517016539708085077e+02
-2.275704252318113130e-01,4.305084745762711718e-01,1.891831818351489289e+02
6.469007011665701967e-02,5.423728813559322015e-01,1.522309266789864637e+02
